行号,电缆编号,起点,终点,起点房间,终点房间,跨房间,手工长度,自动统计,向上取整,差值,基础路径长度,修正量,规则,状态,路径说明
277,2-16S-101,10kV张东10KV开闭所开关柜,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,34,35.8,36,1.8,20.306,15.494,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB4:1 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6；竖井：ZJ1
278,2-16S-102,10kV张东10KV开闭所开关柜,10kV2#PT柜,房间_1CEED,房间_1CEED,否,10,9.1,10,-0.9,2.101,6.999,路径不拐弯 +7,OK,R1BDB4:1
279,1-24S-101,10kV烧成配电站一段,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,30,28.8,29,-1.2,14.529,14.271,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
280,1-24S-102,10kV烧成配电站一段,10kV1#PT柜,房间_1CEED,房间_1CEED,否,22,21.7,22,-0.3,11.057,10.643,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBB:1 -> R1BDB5:1 -> R1BDB3:4
281,1-25S-101,10kV水泥粉磨配电站,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,29,27.9,28,-1.1,13.759,14.141,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
282,1-25S-102,10kV水泥粉磨配电站,10kV1#PT柜,房间_1CEED,房间_1CEED,否,21,20.7,21,-0.3,10.287,10.413,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBB:1 -> R1BDB5:1 -> R1BDB3:4
283,1-26S-101,10kV硫酸变配电室一段,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,29,28.4,29,-0.6,14.126,14.274,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
284,1-26S-102,10kV硫酸变配电室一段,10kV1#PT柜,房间_1CEED,房间_1CEED,否,22,21.2,22,-0.8,10.701,10.499,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBA:1 -> R1BDB5:1 -> R1BDB3:4
285,1-27S-101,10kV硫酸变配电室三段,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,30,29.3,30,-0.7,14.902,14.398,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
286,1-27S-102,10kV硫酸变配电室三段,10kV1#PT柜,房间_1CEED,房间_1CEED,否,23,22.2,23,-0.8,11.477,10.723,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBA:1 -> R1BDB5:1 -> R1BDB3:4
287,1SR-101,10kV1#电容器柜,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,34,36.3,37,2.3,20.72,15.58,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
288,1SR-102,10kV1#电容器柜,10kV1#PT柜,房间_1CEED,房间_1CEED,否,30,29.2,30,-0.8,17.295,11.905,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBA:1 -> R1BDB5:1 -> R1BDB3:4
289,2SR-101,10kV2#电容器柜,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,32,31.0,31,-1.0,16.374,14.626,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB3:4 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6；竖井：ZJ1
290,2SR-102,10kV2#电容器柜,10kV2#PT柜,房间_1CEED,房间_1CEED,否,17,16.4,17,-0.6,9.396,7.004,路径不拐弯 +7,OK,R1BDB3:4 -> R1BDB4:1
291,1SR-161,10kV1#电容器组,10kV1#电容器柜,,房间_1CEED,是,20,22.2,23,2.2,9.012,13.188,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBA:3 -> R1BDBA:2 -> R1BDBA:1
292,1SR-162,10kV1#电容器组,10kV1#电容器柜,,房间_1CEED,是,20,22.2,23,2.2,9.012,13.188,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBA:3 -> R1BDBA:2 -> R1BDBA:1
293,1SR-163,10kV1#电容器组,10kV1#PT柜,,房间_1CEED,是,40,42.9,43,2.9,26.238,16.662,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBA:3 -> R1BDBA:2 -> R1BDBA:1 -> R1BDB5:1 -> R1BDB3:4
294,2SR-161,10kV2#电容器组,10kV2#电容器柜,,房间_1CEED,是,25,27.6,28,2.6,13.482,14.118,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB3:6 -> R1BDB3:5 -> R1BDB3:4
295,2SR-162,10kV2#电容器组,10kV2#电容器柜,,房间_1CEED,是,25,27.6,28,2.6,13.482,14.118,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB3:6 -> R1BDB3:5 -> R1BDB3:4
296,2SR-163,10kV2#电容器组,10kV2#PT柜,,房间_1CEED,是,36,38.4,39,2.4,22.505,15.895,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB3:6 -> R1BDB3:5 -> R1BDB3:4 -> R1BDB4:1
